CustomerID,Name,Age,Gender,Income,Purchases,Churn
72,Susan,46,Female,51064.0,23.0,Yes
73,Anthony,41,Female,52788.0,15.0,Yes
74,Michael,26,Female,108463.0,,No
75,David,62,Male,41066.0,23.0,No
76,Stephanie,55,Male,115402.0,25.0,Yes
77,Kayla,31,Female,,37.0,Yes
78,Seth,57,Male,149609.0,15.0,No
79,Marissa,36,Male,37337.0,7.0,No
80,Angela,44,Male,78585.0,19.0,No
81,Jacob,36,Female,34068.0,31.0,Yes
82,Thomas,27,Female,30335.0,48.0,Yes
83,Jessica,59,Male,94206.0,39.0,Yes
84,Denise,41,Female,131914.0,17.0,Yes
85,Jeffrey,20,Male,118919.0,23.0,Yes
86,Sandra,61,Male,79612.0,32.0,Yes
87,Sarah,62,Female,132364.0,11.0,Yes
88,Andrew,24,Male,96864.0,11.0,No
89,Jeffrey,61,Male,106669.0,24.0,Yes
90,Wendy,46,Male,92282.0,40.0,No
91,Elizabeth,32,Male,121357.0,3.0,Yes
92,Cynthia,29,Male,70582.0,49.0,No
93,Kristin,32,Male,47606.0,3.0,No
94,David,54,Male,124293.0,49.0,No
95,Paul,53,Male,51394.0,27.0,Yes
96,Curtis,46,Male,133586.0,19.0,Yes
97,Austin,58,Male,128702.0,24.0,Yes
98,Christopher,28,Male,122184.0,4.0,Yes
99,Paul,60,Male,92975.0,44.0,Yes
100,Megan,44,Female,111193.0,22.0,Yes
101,Paula,46,Female,69333.0,34.0,Yes
102,Stacy,37,Male,124218.0,27.0,No
103,Kathleen,59,Female,94545.0,7.0,Yes
104,Sarah,48,Male,90860.0,36.0,No
105,Dawn,57,Male,149315.0,,No
106,Benjamin,63,Male,,26.0,Yes
107,Christine,55,Female,54402.0,2.0,Yes
108,Bruce,37,Male,103199.0,28.0,Yes
109,Aaron,24,Female,124814.0,9.0,No
110,Kimberly,58,Female,,29.0,No
111,Rebecca,22,Female,37030.0,10.0,No
112,Raymond,32,Male,74102.0,31.0,Yes
113,Anthony,62,Male,96041.0,48.0,Yes
114,Patrick,42,Female,59878.0,9.0,Yes
115,Stephanie,49,Male,,17.0,No
116,Lindsey,34,Male,86860.0,23.0,Yes
117,Patrick,28,Female,78510.0,42.0,No
118,Ricardo,51,Female,118111.0,17.0,No
119,Sarah,35,Female,134874.0,24.0,Yes
120,Marissa,46,Female,,25.0,No
121,Jeremy,34,Female,113601.0,,No
122,Connie,31,Female,141328.0,22.0,No
123,Jerry,65,Male,33249.0,32.0,No
124,Jonathan,51,Female,52315.0,27.0,Yes
125,Bruce,29,Female,39376.0,21.0,No
126,Ashley,60,Female,52189.0,22.0,Yes
127,Joseph,38,Male,139147.0,25.0,No
128,Anthony,22,Female,77108.0,18.0,No
129,Wendy,45,Male,23415.0,34.0,Yes
130,Katelyn,40,Female,62723.0,46.0,Yes
131,Katie,58,Female,116612.0,7.0,Yes
132,Pamela,42,Male,68254.0,10.0,Yes
133,Cindy,19,Male,99936.0,7.0,No
134,Brandon,39,Female,54340.0,41.0,No
135,Kaitlin,39,Male,44751.0,44.0,No
136,Michael,46,Female,74915.0,28.0,No
137,Melissa,21,Male,96788.0,34.0,No
138,Anthony,49,Female,138920.0,49.0,No
139,Teresa,33,Male,20368.0,49.0,No
140,Jacob,38,Male,99606.0,16.0,No
141,Heather,47,Male,,27.0,Yes
142,Kevin,52,Female,85640.0,29.0,No
143,Jennifer,47,Male,135639.0,49.0,No
144,Xavier,41,Female,,44.0,No
145,Richard,21,Female,47154.0,20.0,No
146,Timothy,28,Male,44498.0,8.0,Yes
147,Stephanie,48,Male,,46.0,No
148,Danielle,18,Male,53957.0,44.0,No
149,Anthony,56,Male,110979.0,,Yes
150,Rachel,47,Male,136757.0,24.0,Yes
151,Laurie,33,Male,100782.0,29.0,No
152,Jason,52,Male,22301.0,8.0,Yes
153,Gregory,32,Male,35687.0,45.0,No
154,John,56,Female,112659.0,38.0,No
155,Erin,64,Male,47698.0,31.0,No
156,Glenda,35,Female,96077.0,32.0,Yes
157,Sandy,34,Female,101447.0,24.0,Yes
158,Kimberly,65,Female,149845.0,,No
159,Christina,42,Female,62359.0,48.0,No
160,James,19,Male,59419.0,23.0,No
161,Troy,58,Female,104525.0,13.0,Yes
162,Adam,25,Female,58225.0,42.0,No
163,Travis,42,Male,79267.0,25.0,No
164,Corey,63,Female,136069.0,4.0,No
165,Hayden,56,Female,48044.0,49.0,No
166,Charles,25,Male,50921.0,29.0,Yes
167,Danielle,24,Male,39866.0,31.0,No
168,John,42,Male,120969.0,14.0,Yes
169,Kenneth,18,Male,56582.0,,No
170,Angela,52,Male,132873.0,15.0,No
171,Nicole,44,Female,129644.0,17.0,Yes
172,Kathleen,43,Female,58612.0,35.0,Yes
173,Timothy,47,Male,118578.0,50.0,No
174,Sara,31,Male,42344.0,23.0,No
175,John,46,Female,35806.0,6.0,No
176,Albert,47,Male,20067.0,43.0,Yes
177,Jasmine,27,Male,23027.0,28.0,Yes
178,Samantha,25,Male,,27.0,Yes
179,Annette,41,Male,,48.0,Yes
180,Laura,36,Female,87765.0,,Yes
181,Donald,57,Female,76683.0,11.0,No
182,Peter,53,Male,70742.0,46.0,Yes
183,Amy,52,Male,45713.0,35.0,No
184,Brandon,29,Female,148373.0,14.0,Yes
185,Kristen,31,Female,135319.0,5.0,Yes
186,Frank,27,Male,32524.0,29.0,Yes
187,Francisco,38,Female,35574.0,3.0,No
188,Craig,28,Male,,41.0,No
189,Vanessa,19,Male,39564.0,13.0,Yes
190,Laura,41,Female,32266.0,1.0,Yes
191,Alan,19,Female,,45.0,Yes
192,Nicole,63,Female,118099.0,22.0,Yes
193,Sean,64,Male,,50.0,Yes
194,Brett,31,Female,85877.0,43.0,Yes
195,Paul,48,Male,75472.0,29.0,Yes
196,Richard,18,Male,146175.0,46.0,Yes
197,Tina,22,Female,130783.0,37.0,Yes
198,Elizabeth,62,Female,111868.0,1.0,No
199,Lucas,65,Female,93716.0,,No
200,Daisy,25,Female,134684.0,48.0,Yes
